00:02:18,,Windows NT ,Netscape 6.0,p144092-ipngn2601kokuryo.gunma.ocn.ne.jp [ 153.137.206.92 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:53:32,,Windows NT ,MSIE 9.0,ngn4-ppp766.east.sannet.ne.jp [ 101.102.43.4 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),,,
00:56:01,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,KD182251241018.au-net.ne.jp [ 182.251.241.18 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
01:00:11,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,KD182251241018.au-net.ne.jp [ 182.251.241.18 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
01:00:43,,Linux,Netscape 6.0,sp1-75-253-215.msb.spmode.ne.jp [ 1.75.253.215 ],,Mozilla/5.0 (Linux; U; Android 4.4.2; ja-jp; SonySO-02F Build/14.3.B.0.362) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30,,,
01:09:23,,Windows NT ,Netscape 6.0,202-229-50-207.ap-p27.canvas.ne.jp [ 202.229.50.207 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
01:14:09,,Windows NT ,Netscape 6.0,catv91078.tac-net.ne.jp [ 202.216.191.78 ],,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,,,
01:17:55,,Windows NT ,MSIE 9.0,FL1-221-171-143-160.tcg.mesh.ad.jp [ 221.171.143.160 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,,
01:18:39,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
01:19:40,,Macintosh,Netscape 6.0,ec2-34-248-204-169.eu-west-1.compute.amazonaws.com [ 34.248.204.169 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/38.0.2125.122 Safari/537.36,,,
01:30:22,http://ozzys.jp,Windows XP,Netscape 6.0,86.47.80.149 [ 86.47.80.149 ],,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.8) Gecko/20100721 Firefox/3.6.8,,,
01:33:24,,Windows NT ,Netscape 6.0,softbank219196102081.bbtec.net [ 219.196.102.81 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
01:34:56,,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML， like Gecko) Version/9.0 Mobile/13F69 Safari/601.1 (etc),Netscape 6.0,fp276eb3a3.gnma404.ap.nuro.jp [ 39.110.179.163 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML， like Gecko) Version/9.0 Mobile/13F69 Safari/601.1,,,
01:53:05,http://oooh.pro,Mozilla/2.0 (compatible; MSIE6.00; Windows 2007) (etc),Netscape 2.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/2.0 (compatible; MSIE6.00; Windows 2007),,,
01:57:41,http://kuhni-brosko.ru/bel-glan-bez-rucek/,Mozilla/3.0 (compatible; MSIE3.00; Windows 2002) (etc),Netscape 3.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/3.0 (compatible; MSIE3.00; Windows 2002),,,
02:00:14,,Etc (robo),Google (robo),crawl-66-249-79-115.googlebot.com [ 66.249.79.115 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
02:02:22,http://elektrotabak.ru/,Mozilla/5.0 (compatible; MSIE5.00; Windows 2004) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/5.0 (compatible; MSIE5.00; Windows 2004),,,
02:07:13,http://mirrarus.ru/propholactic/,Mozilla/7.0 (compatible; MSIE5.00; Windows 2008) (etc),Netscape 7.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/7.0 (compatible; MSIE5.00; Windows 2008),,,
02:10:23,,Etc (robo),Google (robo),13.85.82.164 [ 13.85.82.164 ],,Googlebot/2.1 (+http://www.google.com/bot.html),,,
02:35:50,,Etc (robo),BaiDu (robo),baiduspider-123-125-71-98.crawl.baidu.com [ 123.125.71.98 ],,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),,,
02:45:58,https://nashkomp.ru/kak-v-telegram-skryit-perepisku-chatov-shifrovat-soobshheniya,Mozilla/3.0 (compatible; MSIE3.00; Windows 2008) (etc),Netscape 3.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/3.0 (compatible; MSIE3.00; Windows 2008),,,
02:46:36,http://wannier.ru/,Mozilla/7.0 (compatible; MSIE3.00; Windows 2004) (etc),Netscape 7.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/7.0 (compatible; MSIE3.00; Windows 2004),,,
02:49:26,https://otdelkadom-surgut.ru/klej-uzin-uz88/,Mozilla/6.0 (compatible; MSIE6.00; Windows 2006) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/6.0 (compatible; MSIE6.00; Windows 2006),,,
02:50:32,http://uptime.com/ozzys.jp,Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot) (etc),Netscape 6.0,172.241.151.19 [ 172.241.151.19 ],,Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot),,,
02:55:08,,Windows NT ,Netscape 6.0,pl22283.ag0506.nttpc.ne.jp [ 124.154.44.11 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
02:58:05,http://otzovik-na-vode.ru/stormline-rib/lodka-rib-stormline-standard-340,Mozilla/4.0 (compatible; MSIE5.00; Windows 2005) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/4.0 (compatible; MSIE5.00; Windows 2005),,,
03:09:15,https://www.inboundlinks.win/InboundLinks/www.ozzys.jp,Windows NT ,MSIE 9.0,199.193.251.133 [ 199.193.251.133 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,,
03:18:56,,Macintosh,Netscape 6.0,ec2-54-161-64-50.compute-1.amazonaws.com [ 54.161.64.50 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0,,,
03:28:11,,Etc (robo),Google (robo),crawl-66-249-79-115.googlebot.com [ 66.249.79.115 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
03:29:40,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,pw126152193116.10.panda-world.ne.jp [ 126.152.193.116 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
03:38:35,http://www.google.co.jp/,Linux,Netscape 6.0,pda2960c2.ibrknt01.ap.so-net.ne.jp [ 218.41.96.194 ],,Mozilla/5.0 (Linux; Android 5.1.1; d-01H Build/HUAWEIM2-A04L) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/56.0.2924.87 Safari/537.36,,,
03:47:50,,Linux,Netscape 6.0,sp49-98-143-30.msd.spmode.ne.jp [ 49.98.143.30 ],,Mozilla/5.0 (Linux; Android 6.0.1; SH-03G Build/SC270; wv) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.3.2,,,
03:53:12,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) GSA/23.0.147401934 Mobile/14D27 Safari/600.1.4 (etc),Netscape 6.0,p420173-ipngn3601kokuryo.gunma.ocn.ne.jp [ 180.13.89.173 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) GSA/23.0.147401934 Mobile/14D27 Safari/600.1.4,,,
03:53:23,,Etc (robo),Inktomi (robo),b110137.yse.yahoo.net [ 68.180.228.239 ],,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),,,
03:54:39,http://worldcuisine.pro/,Mozilla/2.0 (compatible; MSIE5.00; Windows 2004) (etc),Netscape 2.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/2.0 (compatible; MSIE5.00; Windows 2004),,,
03:59:25,android-app://com.google.android.googlequicksearchbox,Linux,Mozilla 5.0,KD182250248198.au-net.ne.jp [ 182.250.248.198 ],,Mozilla/5.0 (Linux; Android 4.4.4; SOL26 Build/23.0.C.1.6) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
03:59:30,,Windows NT ,Netscape 6.0,ec2-54-187-114-165.us-west-2.compute.amazonaws.com [ 54.187.114.165 ],,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.6 (KHTML， like Gecko) Chrome/20.0.1092.0 Safari/536.6,,,
04:32:46,,Windows XP,Netscape 6.0,KD121110216143.ppp-bb.dion.ne.jp [ 121.110.216.143 ],,Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/49.0.2623.112 Safari/537.36,,,
04:33:23,http://www.bitrd.ru/,Mozilla/7.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 7.0,irobert.ballard.example.com [ 185.154.13.6 ],,Mozilla/7.0 (compatible; MSIE4.00; Windows 2007),,,
04:33:46,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,pw126247073012.14.panda-world.ne.jp [ 126.247.73.12 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
04:44:10,http://bettingtips.pro/,Mozilla/3.0 (compatible; MSIE2.00; Windows 2005) (etc),Netscape 3.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/3.0 (compatible; MSIE2.00; Windows 2005),,,
04:54:11,,Linux,Mozilla 5.0,sp49-97-96-77.msc.spmode.ne.jp [ 49.97.96.77 ],,Mozilla/5.0 (Linux; Android 5.0.2; F-05F Build/V14R30A; wv) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36,,,
04:54:12,,Linux,Mozilla 5.0,sp49-97-96-77.msc.spmode.ne.jp [ 49.97.96.77 ],,Mozilla/5.0 (Linux; Android 5.0.2; F-05F Build/V14R30A) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile Safari/537.36,,,
05:21:41,http://kuhni-brosko.ru/klassicheskaya-kuxnya-v-vanilnyx-tonax/,Mozilla/6.0 (compatible; MSIE6.00; Windows 2002) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/6.0 (compatible; MSIE6.00; Windows 2002),,,
05:21:43,http://oooh.pro,Mozilla/8.0 (compatible; MSIE6.00; Windows 2002) (etc),Netscape 8.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/8.0 (compatible; MSIE6.00; Windows 2002),,,
05:23:34,,Etc (robo),Google (robo),crawl-66-249-79-115.googlebot.com [ 66.249.79.115 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
05:31:15,http://elektrotabak.ru/,Mozilla/5.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/5.0 (compatible; MSIE4.00; Windows 2007),,,
05:46:54,,Etc (robo),Google (robo),crawl-66-249-79-87.googlebot.com [ 66.249.79.87 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
05:50:45,,Windows NT ,Netscape 6.0,178.62.192.39 [ 178.62.192.39 ],,Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/34.0.1847.116 Safari/537.36,,,
05:51:58,http://mirrarus.ru/mirrababy/krem-gel-pod-podguzniki-s-oksidom-tsinka-i-kalenduloy.html,Mozilla/6.0 (compatible; MSIE5.00; Windows 2006) (etc),Netscape 6.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2006),,,
05:53:11,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
06:00:50,,Windows NT ,Netscape 6.0,softbank126043078011.bbtec.net [ 126.43.78.11 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
06:03:01,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,59-128-73-185.users.sctv.jp [ 59.128.73.185 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
06:06:54,,Etc (robo),Google (robo),crawl-66-249-79-119.googlebot.com [ 66.249.79.119 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
06:12:46,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,220-158-9-46.east.fdn.vectant.ne.jp [ 220.158.9.46 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
06:17:44,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML， like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,sp1-75-239-242.msb.spmode.ne.jp [ 1.75.239.242 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML， like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
06:32:45,https://nashkomp.ru/registracija-v-telegram,Mozilla/7.0 (compatible; MSIE5.00; Windows 2003) (etc),Netscape 7.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/7.0 (compatible; MSIE5.00; Windows 2003),,,
06:36:24,https://otdelkadom-surgut.ru/dizajn-laminata/,Mozilla/6.0 (compatible; MSIE5.00; Windows 2004) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2004),,,
06:36:53,,Windows NT ,Netscape 6.0,46.101.2.35 [ 46.101.2.35 ],,Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/34.0.1847.116 Safari/537.36,,,
06:38:32,http://wannier.ru/,Mozilla/6.0 (compatible; MSIE5.00; Windows 2008) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2008),,,
06:45:12,,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/) (etc),Mozilla 5.0,hosted-by.leaseweb.com [ 162.210.196.97 ],,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/),,,
06:47:04,http://otzovik-na-vode.ru/parsun,Mozilla/6.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/6.0 (compatible; MSIE4.00; Windows 2007),,,
06:50:55,,Linux,Mozilla 5.0,sp49-98-161-185.msd.spmode.ne.jp [ 49.98.161.185 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01J Build/39.0.B.1.19) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36,,,
06:55:04,,Linux,Mozilla 5.0,KD182251241012.au-net.ne.jp [ 182.251.241.12 ],,Mozilla/5.0 (Linux; Android 6.0.1; KYV35 Build/202.0.2000) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36,,,
06:59:19,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,sp49-98-145-209.msd.spmode.ne.jp [ 49.98.145.209 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
07:00:39,,Windows NT ,Netscape 6.0,ntszok125021.szok.nt.ftth4.ppp.infoweb.ne.jp [ 125.2.250.21 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
07:32:32,,Linux,Mozilla 5.0,sp49-98-148-29.msd.spmode.ne.jp [ 49.98.148.29 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01G Build/23.5.B.0.303) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36,,,
07:36:06,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,sp49-98-164-116.msd.spmode.ne.jp [ 49.98.164.116 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
07:36:07,,Linux,Mozilla 5.0,sp49-98-148-29.msd.spmode.ne.jp [ 49.98.148.29 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01G Build/23.5.B.0.303) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36,,,
07:36:10,,Linux,Mozilla 5.0,KD182250241032.au-net.ne.jp [ 182.250.241.32 ],,Mozilla/5.0 (Linux; Android 6.0.1; SCV31 Build/MMB29K) AppleWebKit/537.36 (KHTML， like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36,,,
07:45:15,,Linux,Mozilla 5.0,KD182251241047.au-net.ne.jp [ 182.251.241.47 ],,Mozilla/5.0 (Linux; Android 6.0.1; SHV35 Build/SB250) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/54.0.2840.68 Mobile Safari/537.36,,,
07:47:54,,Linux,Netscape 6.0,om126211022224.13.openmobile.ne.jp [ 126.211.22.224 ],,Mozilla/5.0 (Linux; Android 6.0; 501SO Build/32.1.D.0.386; wv) AppleWebKit/537.36 (KHTML， like Gecko) Version/4.0 Chrome/52.0.2743.98 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.2.7,,,
07:49:10,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) GSA/23.0.147401934 Mobile/14D27 Safari/600.1.4 (etc),Netscape 6.0,sp49-98-172-165.msd.spmode.ne.jp [ 49.98.172.165 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) GSA/23.0.147401934 Mobile/14D27 Safari/600.1.4,,,
07:50:00,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,pw126255070009.9.panda-world.ne.jp [ 126.255.70.9 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML， like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
