00:05:39,https://www.remgam.ru/remont-i-otdelka,Mozilla/8.0 (compatible; MSIE4.00; Windows 2006) (etc),Netscape 8.0,5.200.52.103 [ 5.200.52.103 ],,Mozilla/8.0 (compatible; MSIE4.00; Windows 2006),,,
01:03:29,,Linux,Netscape 6.0,sp49-98-154-238.msd.spmode.ne.jp [ 49.98.154.238 ],,Mozilla/5.0 (Linux; Android 6.0.1; SC-05G Build/MMB29K; wv) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.3.1,,,
01:03:58,http://franchise.smartfoxclub.ru/,Mozilla/6.0 (compatible; MSIE7.00; Windows 2004) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/6.0 (compatible; MSIE7.00; Windows 2004),,,
01:06:00,http://search.smt.docomo.ne.jp/result?MT=„Ç™„Éº„Ç∏„Éº„Ç∫&SID=000&IND=000&TPLID=&UNIT=&URANK=&SPAGE=&PAGE=1,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,p207253-ipngn3101kokuryo.gunma.ocn.ne.jp [ 114.166.168.253 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:09:03,,Windows NT ,Netscape 6.0,catv91078.tac-net.ne.jp [ 202.216.191.78 ],,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,,,
01:15:01,,Linux,Mozilla 5.0,FL1-125-197-89-253.gnm.mesh.ad.jp [ 125.197.89.253 ],,Mozilla/5.0 (Linux; Android 6.0; SO-01H Build/32.1.F.1.38) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
01:27:48,,Macintosh,Netscape 6.0,49.253.113.201.eo.eaccess.ne.jp [ 49.253.113.201 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTMLÅC like Gecko) Version/5.1.9 Safari/534.59.10,,,
01:29:28,,Etc (robo),Google (robo),crawl-66-249-79-172.googlebot.com [ 66.249.79.172 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
01:30:26,,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) (etc),Mozilla 5.0,msnbot-157-55-39-61.search.msn.com [ 157.55.39.61 ],,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),,,
01:32:09,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,sp49-98-7-11.msb.spmode.ne.jp [ 49.98.7.11 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:44:59,,Etc,Etc,lb-proxy-16.websupport.sk [ 37.9.169.18 ],,,,,
01:45:05,,X11,Netscape 6.0,google-proxy-66-249-93-26.google.com [ 66.249.93.26 ],,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTMLÅC like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36,,,
01:50:10,,Linux,Mozilla 5.0,softbank126127132130.bbtec.net [ 126.127.132.130 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-04H Build/35.0.B.2.355) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
01:54:57,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,61-21-28-202.rev.home.ne.jp [ 61.21.28.202 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:08:02,,Etc (robo),Google (robo),crawl-66-249-79-155.googlebot.com [ 66.249.79.155 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
02:08:27,http://www.google.co.jp/,Linux,Mozilla 5.0,sp1-75-253-182.msb.spmode.ne.jp [ 1.75.253.182 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01G Build/23.5.B.0.303) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36,,,
02:12:30,,Windows NT ,Netscape 6.0,180-198-186-74.nagoya1.commufa.jp [ 180.198.186.74 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,,
02:30:46,http://tsrwood.ru/madagaskar.html,Mozilla/6.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.145.95 ],,Mozilla/6.0 (compatible; MSIE4.00; Windows 2007),,,
02:32:34,,Etc (robo),BaiDu (robo),baiduspider-123-125-71-48.crawl.baidu.com [ 123.125.71.48 ],,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),,,
02:47:15,,Linux,Mozilla 5.0,sp1-75-247-177.msb.spmode.ne.jp [ 1.75.247.177 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01J Build/39.0.B.0.361) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36,,,
02:50:32,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:50:46,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:55:42,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
03:00:14,http://44bonusa.ru/,Mozilla/4.0 (compatible; MSIE2.00; Windows 2007) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/4.0 (compatible; MSIE2.00; Windows 2007),,,
03:03:17,,Windows NT ,Netscape 6.0,dynamic-78-8-171-9.ssp.dialog.net.pl [ 78.8.171.9 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
03:06:39,https://www.remgam.ru/otdelka-kvartir,Mozilla/7.0 (compatible; MSIE7.00; Windows 2003) (etc),Netscape 7.0,5.200.52.103 [ 5.200.52.103 ],,Mozilla/7.0 (compatible; MSIE7.00; Windows 2003),,,
03:07:34,http://kidsmi.ru/govoryat-bilingvy/,Mozilla/5.0 (compatible; MSIE5.00; Windows 2006) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/5.0 (compatible; MSIE5.00; Windows 2006),,,
03:10:43,,X11,Mozilla 5.0,google-proxy-66-102-9-19.google.com [ 66.102.9.19 ],,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.75 Safari/537.36 Google Favicon,,,
03:12:29,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTMLÅC like Gecko) GSA/22.0.141836113 Mobile/14A456 Safari/600.1.4 (etc),Netscape 6.0,sp1-75-247-27.msb.spmode.ne.jp [ 1.75.247.27 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTMLÅC like Gecko) GSA/22.0.141836113 Mobile/14A456 Safari/600.1.4,,,
03:13:57,https://womenknow.ru/40-kak-soblaznit-parnya-po-sms.html,Mozilla/5.0 (compatible; MSIE3.00; Windows 2003) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/5.0 (compatible; MSIE3.00; Windows 2003),,,
03:13:58,http://xn----8sbwhzjq7b3a.xn--p1ai/hodyachie-shary/hodyachij-shar-monstr-majk,Mozilla/3.0 (compatible; MSIE4.00; Windows 2004) (etc),Netscape 3.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/3.0 (compatible; MSIE4.00; Windows 2004),,,
03:16:57,https://gantbpm.ru/proekty/proektnoe-upravlenie/,Mozilla/6.0 (compatible; MSIE3.00; Windows 2008) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/6.0 (compatible; MSIE3.00; Windows 2008),,,
03:20:52,https://well-com.biz/company/careers/,Mozilla/5.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/5.0 (compatible; MSIE6.00; Windows 2004),,,
03:22:45,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
03:27:44,http://murom.videon33.ru/,Mozilla/4.0 (compatible; MSIE6.00; Windows 2003) (etc),Netscape 4.0,5.200.52.93 [ 5.200.52.93 ],,Mozilla/4.0 (compatible; MSIE6.00; Windows 2003),,,
03:32:48,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,pw126236003053.12.panda-world.ne.jp [ 126.236.3.53 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
03:33:57,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,pw126236003053.12.panda-world.ne.jp [ 126.236.3.53 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
03:45:21,,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTMLÅC like Gecko) Version/9.0 Mobile/13E238 Safari/601.1 (etc),Netscape 6.0,pw126247079208.14.panda-world.ne.jp [ 126.247.79.208 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTMLÅC like Gecko) Version/9.0 Mobile/13E238 Safari/601.1,,,
04:14:02,https://rus-everest.com/uslugi/montazh-sks-lvs/,Mozilla/3.0 (compatible; MSIE7.00; Windows 2002) (etc),Netscape 3.0,irobert.ballard.example.com [ 185.154.13.6 ],,Mozilla/3.0 (compatible; MSIE7.00; Windows 2002),,,
04:32:13,https://eckonom.ru/company/novosti/pochemu-stoit-vybrat-schyotchik-eko-nom,Mozilla/6.0 (compatible; MSIE5.00; Windows 2009) (etc),Netscape 6.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2009),,,
04:41:04,,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/) (etc),Mozilla 5.0,hosted-by.leaseweb.com [ 108.59.8.80 ],,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/),,,
04:45:40,,Windows NT ,Netscape 6.0,195-154-181-168.rev.poneytelecom.eu [ 195.154.181.168 ],,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,,,
04:59:55,,Etc (robo),Inktomi (robo),b110137.yse.yahoo.net [ 68.180.228.239 ],,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),,,
05:05:28,https://www.inboundlinks.win/InboundLinks/www.ozzys.jp,Windows NT ,MSIE 9.0,agem1.maxname.info [ 192.157.254.197 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,,
05:06:48,http://in-sto.ru/stendy-shod-razvala/tv/7/,Mozilla/2.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 2.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/2.0 (compatible; MSIE6.00; Windows 2004),,,
05:14:20,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,210-146-199-199.east.fdn.vectant.ne.jp [ 210.146.199.199 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
05:21:17,https://doservis.ru/publikacii/obshhedomovye-vodoschetchiki,Mozilla/8.0 (compatible; MSIE2.00; Windows 2006) (etc),Netscape 8.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/8.0 (compatible; MSIE2.00; Windows 2006),,,
05:38:54,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/600.1.4 (KHTMLÅC like Gecko) GSA/22.0.141836113 Mobile/14C92 Safari/600.1.4 (etc),Netscape 6.0,sp49-98-170-254.msd.spmode.ne.jp [ 49.98.170.254 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/600.1.4 (KHTMLÅC like Gecko) GSA/22.0.141836113 Mobile/14C92 Safari/600.1.4,,,
05:56:30,http://franchise.smartfoxclub.ru/,Mozilla/2.0 (compatible; MSIE2.00; Windows 2006) (etc),Netscape 2.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/2.0 (compatible; MSIE2.00; Windows 2006),,,
06:01:13,https://search.yahoo.co.jp/,Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,pw126186056197.7.panda-world.ne.jp [ 126.186.56.197 ],,Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
06:33:19,http://www.wbs1.jp/bzgn2/13032/,Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,p348202-ipngn3501akatuka.ibaraki.ocn.ne.jp [ 114.149.254.202 ],,Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
06:45:28,,Windows NT ,Netscape 6.0,p2562033-ipngn18001hodogaya.kanagawa.ocn.ne.jp [ 180.57.98.33 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
06:49:22,https://www.remgam.ru/otdelka-kvartir,Mozilla/7.0 (compatible; MSIE3.00; Windows 2007) (etc),Netscape 7.0,5.200.52.103 [ 5.200.52.103 ],,Mozilla/7.0 (compatible; MSIE3.00; Windows 2007),,,
06:50:08,http://kidsmi.ru/autumn-marathon-2016-1st/,Mozilla/3.0 (compatible; MSIE6.00; Windows 2005) (etc),Netscape 3.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/3.0 (compatible; MSIE6.00; Windows 2005),,,
06:50:13,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,pw126245192069.16.panda-world.ne.jp [ 126.245.192.69 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
06:51:36,,Linux,Netscape 6.0,om126212034170.11.openmobile.ne.jp [ 126.212.34.170 ],,Mozilla/5.0 (Linux; Android 6.0; 501SO Build/32.1.D.0.386; wv) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/52.0.2743.98 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.2.7,,,
06:52:16,http://xn----8sbwhzjq7b3a.xn--p1ai/hodyachie-shary/hodyachij-shar-mikki-maus,Mozilla/4.0 (compatible; MSIE7.00; Windows 2008) (etc),Netscape 4.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/4.0 (compatible; MSIE7.00; Windows 2008),,,
06:54:40,https://womenknow.ru/49-kompyuternye-igry-dlya-devushek.html,Mozilla/4.0 (compatible; MSIE7.00; Windows 2004) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/4.0 (compatible; MSIE7.00; Windows 2004),,,
07:02:52,http://murom.videon33.ru/,Mozilla/8.0 (compatible; MSIE5.00; Windows 2006) (etc),Netscape 8.0,5.200.52.93 [ 5.200.52.93 ],,Mozilla/8.0 (compatible; MSIE5.00; Windows 2006),,,
07:04:04,http://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30 (etc),Netscape 6.0,sp1-79-22-113.msb.spmode.ne.jp [ 1.79.22.113 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30,,,
07:05:12,http://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30 (etc),Netscape 6.0,sp1-79-22-113.msb.spmode.ne.jp [ 1.79.22.113 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30,,,
07:05:21,https://well-com.biz/ishodyashchie-zvonki/telefonnye-oprosy/,Mozilla/6.0 (compatible; MSIE6.00; Windows 2008) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/6.0 (compatible; MSIE6.00; Windows 2008),,,
07:06:58,,Etc (robo),Google (robo),crawl-66-249-79-155.googlebot.com [ 66.249.79.155 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
07:07:30,http://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30 (etc),Netscape 6.0,sp1-79-22-113.msb.spmode.ne.jp [ 1.79.22.113 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30,,,
07:08:00,http://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30 (etc),Netscape 6.0,sp1-79-22-113.msb.spmode.ne.jp [ 1.79.22.113 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTMLÅC like Gecko) Mobile/11B554a YJApp-IOS jp.co.yahoo.ipn.appli/4.3.30,,,
07:08:46,,Linux,Mozilla 5.0,sp49-98-158-6.msd.spmode.ne.jp [ 49.98.158.6 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01J Build/39.0.B.0.361) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
07:15:41,http://44bonusa.ru/,Mozilla/6.0 (compatible; MSIE6.00; Windows 2002) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/6.0 (compatible; MSIE6.00; Windows 2002),,,
07:15:51,,Linux,Mozilla 5.0,98.net042127204.t-com.ne.jp [ 42.127.204.98 ],,Mozilla/5.0 (Linux; Android 5.0.2; SO-04G Build/23.1.B.1.317) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/40.0.2214.89 Mobile Safari/537.36,,,
07:19:41,,Linux,Mozilla 5.0,sp1-66-105-93.msc.spmode.ne.jp [ 1.66.105.93 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-02G Build/23.5.B.0.303; wv) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/49.0.2623.105 Mobile Safari/537.36,,,
07:19:41,,Linux,Mozilla 5.0,sp1-66-105-93.msc.spmode.ne.jp [ 1.66.105.93 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-02G Build/23.5.B.0.303) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36,,,
07:20:34,http://tsrwood.ru/vopros-i-otvet.html,Mozilla/6.0 (compatible; MSIE5.00; Windows 2003) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.145.95 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2003),,,
07:23:58,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD106160021050.ppp-bb.dion.ne.jp [ 106.160.21.50 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
07:28:32,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD182250253196.au-net.ne.jp [ 182.250.253.196 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
07:33:10,,Linux,Mozilla 5.0,sp1-66-96-240.msc.spmode.ne.jp [ 1.66.96.240 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-04G Build/23.5.B.0.303) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36,,,
