00:01:05,,Linux,Mozilla 5.0,p4068-ipbf1507souka.saitama.ocn.ne.jp [ 118.8.235.68 ],,Mozilla/5.0 (Linux; Android 4.4.2; SO-03F Build/17.1.1.B.3.240) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
01:36:37,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:37:02,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:37:06,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:47:05,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,p3209-ipbf802kokuryo.gunma.ocn.ne.jp [ 219.160.18.209 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:01:46,,Etc (robo),Google (robo),crawl-66-249-79-155.googlebot.com [ 66.249.79.155 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
02:05:58,,Linux,Mozilla 5.0,ngn3-ppp858.gunma.sannet.ne.jp [ 101.102.3.96 ],,Mozilla/5.0 (Linux; Android 6.0; SOV31 Build/32.1.C.0.333) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
02:06:51,,Etc (robo),Google (robo),crawl-66-249-79-159.googlebot.com [ 66.249.79.159 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
02:10:16,,Linux,Mozilla 5.0,sp49-98-134-10.msd.spmode.ne.jp [ 49.98.134.10 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-01J Build/39.0.B.0.361) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36,,,
02:22:57,http://tsrwood.ru/inzhenernyie-kommunikatsii.html,Mozilla/2.0 (compatible; MSIE3.00; Windows 2002) (etc),Netscape 2.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/2.0 (compatible; MSIE3.00; Windows 2002),,,
02:33:59,,Etc (robo),BaiDu (robo),baiduspider-123-125-71-33.crawl.baidu.com [ 123.125.71.33 ],,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),,,
02:34:51,,Etc (robo),Inktomi (robo),b110137.yse.yahoo.net [ 68.180.228.239 ],,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),,,
02:47:15,http://xsltcache.alexa.com/site_stats/gif/t/b/Y2VudGVybmFzbGVkc3R2YS5ydQ==/s.gif,Mozilla/3.0 (compatible; MSIE4.00; Windows 2008) (etc),Netscape 3.0,irobert.ballard.example.com [ 185.154.13.6 ],,Mozilla/3.0 (compatible; MSIE4.00; Windows 2008),,,
02:47:46,https://search.yahoo.co.jp/,Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,32.69.100.220.dy.bbexcite.jp [ 220.100.69.32 ],,Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:50:00,http://xslt.alexa.com/site_stats/js/s/a?url=scanmarine.info,Mozilla/4.0 (compatible; MSIE3.00; Windows 2005) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.145.95 ],,Mozilla/4.0 (compatible; MSIE3.00; Windows 2005),,,
02:50:29,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD182251240014.au-net.ne.jp [ 182.251.240.14 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
03:02:51,https://www.lflash.ru/catalog/promyshlennye_svetilniki_1484121434/256032029.html,Mozilla/6.0 (compatible; MSIE7.00; Windows 2008) (etc),Netscape 6.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/6.0 (compatible; MSIE7.00; Windows 2008),,,
03:10:30,,Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender) (etc),Mozilla 5.0,ec2-54-65-51-130.ap-northeast-1.compute.amazonaws.com [ 54.65.51.130 ],,Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender),,,
03:11:09,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,sp49-98-7-11.msb.spmode.ne.jp [ 49.98.7.11 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
03:27:48,http://buckshee.petimer.ru/forum/fitnes-kachalka/video/,Mozilla/2.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 2.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/2.0 (compatible; MSIE4.00; Windows 2007),,,
03:32:53,,Linux,Netscape 6.0,om126212182124.14.openmobile.ne.jp [ 126.212.182.124 ],,Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; SBM303SH Build/S0032) AppleWebKit/534.30 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/534.30,,,
03:36:53,,Windows NT ,Netscape 6.0,134-249-159-113.broadband.kyivstar.net [ 134.249.159.113 ],,Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/34.0.1847.116 Safari/537.36,,,
03:48:33,http://zpd-krd.ru/,Mozilla/4.0 (compatible; MSIE4.00; Windows 2009) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/4.0 (compatible; MSIE4.00; Windows 2009),,,
03:54:27,http://wot-shkurka.ru/load/kitajskie_tanki/wz_132/276,Mozilla/6.0 (compatible; MSIE5.00; Windows 2004) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2004),,,
03:57:57,http://santi.su/collection/special3,Mozilla/8.0 (compatible; MSIE5.00; Windows 2005) (etc),Netscape 8.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/8.0 (compatible; MSIE5.00; Windows 2005),,,
04:07:21,https://search.yahoo.co.jp/,Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,32.69.100.220.dy.bbexcite.jp [ 220.100.69.32 ],,Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
04:09:20,,Windows NT ,Netscape 6.0,m5.builtwith.xyz [ 192.99.46.89 ],,Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/41.0.2272.118 Safari/537.36,,,
04:09:21,,Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTMLÅC like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (etc),Netscape 6.0,m5.builtwith.xyz [ 192.99.46.89 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTMLÅC like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25,,,
04:22:38,http://proavtostekla.ru/katalog-avtostekol/peugeot/207/,Mozilla/4.0 (compatible; MSIE5.00; Windows 2005) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/4.0 (compatible; MSIE5.00; Windows 2005),,,
04:34:26,https://gantbpm.ru/news/v-saratovskoj-oblasti-prodolzhaetsya-programma-selskij-doktor/,Mozilla/8.0 (compatible; MSIE2.00; Windows 2008) (etc),Netscape 8.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/8.0 (compatible; MSIE2.00; Windows 2008),,,
04:42:21,http://smartfoxclub.ru/branch-kurkino,Mozilla/6.0 (compatible; MSIE7.00; Windows 2008) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/6.0 (compatible; MSIE7.00; Windows 2008),,,
04:56:18,,Windows NT ,Netscape 6.0,p424100-ipngn302yosida.nagano.ocn.ne.jp [ 153.135.88.100 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
05:03:06,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
05:25:01,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,210-146-199-199.east.fdn.vectant.ne.jp [ 210.146.199.199 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
05:43:28,http://search.smt.docomo.ne.jp/result?MT=„Ç™„Ç∏„Éº„Ç∫&SID=000&IND=000&TPLID=&UNIT=&URANK=&SPAGE=&PAGE=1,Linux,Mozilla 5.0,sp1-75-6-82.msc.spmode.ne.jp [ 1.75.6.82 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-04G Build/23.5.B.0.303) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36,,,
05:44:13,http://xsltcache.alexa.com/site_stats/gif/t/b/Y2hhbGV0MjQucnU=/s.gif,Mozilla/4.0 (compatible; MSIE4.00; Windows 2005) (etc),Netscape 4.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/4.0 (compatible; MSIE4.00; Windows 2005),,,
05:56:37,,CakePHP (etc),CakePHP (etc),tk2-232-25993.vs.sakura.ne.jp [ 160.16.113.247 ],,CakePHP,,,
05:58:39,,Windows NT ,Netscape 6.0,softbank126043078011.bbtec.net [ 126.43.78.11 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
06:00:05,,Etc (robo),Google (robo),crawl-66-249-79-78.googlebot.com [ 66.249.79.78 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
06:03:14,,Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot) (etc),Mozilla 5.0,crawl24.exabot.com [ 178.255.215.88 ],,Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot),,,
06:03:19,https://www.lflash.ru/catalog/blok-zashchity-dlya-galogennykh-lamp/256024361.html,Mozilla/3.0 (compatible; MSIE5.00; Windows 2004) (etc),Netscape 3.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/3.0 (compatible; MSIE5.00; Windows 2004),,,
06:13:56,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,p76eca0d3.tocgnt01.ap.so-net.ne.jp [ 118.236.160.211 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
06:21:37,http://tsrwood.ru/dominika.html,Mozilla/7.0 (compatible; MSIE6.00; Windows 2009) (etc),Netscape 7.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/7.0 (compatible; MSIE6.00; Windows 2009),,,
06:30:16,http://www.ozzys.jp/goods/600/m0089/s603/g48706/,Windows NT ,Netscape 6.0,p1808112-ipngn12901hodogaya.kanagawa.ocn.ne.jp [ 153.219.220.112 ],,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
