00:00:22,,Windows NT ,Netscape 6.0,KD036008157064.ppp-bb.dion.ne.jp [ 36.8.157.64 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAFSJS; rv:11.0) like Gecko,,,
00:17:24,http://www.ozzys.jp/goods/100/s101/m0007/n76510/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,d-182-23-237-138.d-cable.katch.ne.jp [ 182.23.237.138 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:17:31,http://www.ozzys.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,d-182-23-237-138.d-cable.katch.ne.jp [ 182.23.237.138 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:17:42,http://www.ozzys.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,d-182-23-237-138.d-cable.katch.ne.jp [ 182.23.237.138 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:20:57,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,softbank060076160224.bbtec.net [ 60.76.160.224 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:23:13,,Windows XP,Netscape 6.0,195.219.22.202.ktv.ne.jp [ 202.22.219.195 ],,Mozilla/5.0 (Windows NT 5.1; rv:50.0) Gecko/20100101 Firefox/50.0,,,
00:24:59,http://search.smt.docomo.ne.jp/result?MT=„Ç™„Ç∏„Éº„Ç∫&SID=c04&IND=000&TPLID=&UNIT=&URANK=&SPAGE=&PAGE=1,Linux,Mozilla 5.0,sp49-98-136-78.msd.spmode.ne.jp [ 49.98.136.78 ],,Mozilla/5.0 (Linux; Android 6.0.1; SC-04F Build/MMB29M) AppleWebKit/537.36 (KHTMLÅC like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36,,,
00:29:37,,Linux,Mozilla 5.0,sp49-98-165-150.msd.spmode.ne.jp [ 49.98.165.150 ],,Mozilla/5.0 (Linux; Android 6.0; SO-02H Build/32.1.F.1.75) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36,,,
00:31:22,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,KD182249245004.au-net.ne.jp [ 182.249.245.4 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
00:32:45,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,KD182249245004.au-net.ne.jp [ 182.249.245.4 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
00:36:08,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,softbank060076160224.bbtec.net [ 60.76.160.224 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:39:50,,Windows NT ,Netscape 6.0,202-229-50-207.ap-p27.canvas.ne.jp [ 202.229.50.207 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:42:13,http://uptime.com/ozzys.jp,Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot) (etc),Netscape 6.0,216-169-110-214.reverse.ezzi.net [ 216.169.110.214 ],,Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot),,,
00:43:41,,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) (etc),Mozilla 5.0,spider-141-8-132-29.yandex.com [ 141.8.132.29 ],,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots),,,
00:48:30,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,softbank126024009219.bbtec.net [ 126.24.9.219 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:52:39,http://www.google.co.jp/,Linux,Mozilla 5.0,sp49-97-101-19.msc.spmode.ne.jp [ 49.97.101.19 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-04H Build/35.0.B.4.24) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
00:53:53,http://search.smt.docomo.ne.jp/result?MT=„Ç™„Ç∏„Éº„Ç∫&SID=000&IND=000&TPLID=&UNIT=&URANK=&SPAGE=&PAGE=1,Linux,Mozilla 5.0,sp1-72-2-224.msc.spmode.ne.jp [ 1.72.2.224 ],,Mozilla/5.0 (Linux; Android 5.0.2; F-02G Build/V10R27A) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile Safari/537.36,,,
01:02:48,,Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTMLÅC like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (etc),Netscape 6.0,softbank060086204189.bbtec.net [ 60.86.204.189 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTMLÅC like Gecko) Version/9.0 Mobile/13B143 Safari/601.1,,,
01:07:36,http://in-sto.ru/shod-razval-na-yame/,Mozilla/6.0 (compatible; MSIE6.00; Windows 2009) (etc),Netscape 6.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/6.0 (compatible; MSIE6.00; Windows 2009),,,
01:30:56,,Windows NT ,Netscape 6.0,FL1-125-197-163-188.gnm.mesh.ad.jp [ 125.197.163.188 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
01:31:53,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:32:26,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:32:41,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD106165053208.ppp-bb.dion.ne.jp [ 106.165.53.208 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
01:35:12,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,sp49-98-147-188.msd.spmode.ne.jp [ 49.98.147.188 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
01:37:58,https://ladyclub.org/news/shhedrovki-i-posevalki-na-staryj-novyj-g,Mozilla/3.0 (compatible; MSIE7.00; Windows 2007) (etc),Netscape 3.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/3.0 (compatible; MSIE7.00; Windows 2007),,,
01:41:15,http://sobervoditel24.ru/usluga-trezviy-voditel/,Mozilla/6.0 (compatible; MSIE3.00; Windows 2003) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/6.0 (compatible; MSIE3.00; Windows 2003),,,
01:44:14,http://buckshee.petimer.ru/forum/fitnes-kachalka/trenirovki/,Mozilla/5.0 (compatible; MSIE6.00; Windows 2006) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/5.0 (compatible; MSIE6.00; Windows 2006),,,
01:47:08,http://kidsmi.ru/leto-na-anglijskom/,Mozilla/3.0 (compatible; MSIE6.00; Windows 2002) (etc),Netscape 3.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/3.0 (compatible; MSIE6.00; Windows 2002),,,
01:55:47,http://breningroup.ru/antikollektor,Mozilla/5.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 6.0,5.200.52.103 [ 5.200.52.103 ],,Mozilla/5.0 (compatible; MSIE4.00; Windows 2007),,,
01:55:47,https://www.remgam.ru/remont-kottedzhej,Mozilla/3.0 (compatible; MSIE4.00; Windows 2009) (etc),Netscape 3.0,5.200.52.93 [ 5.200.52.93 ],,Mozilla/3.0 (compatible; MSIE4.00; Windows 2009),,,
01:57:49,,Windows NT ,MSIE 9.0,i121-116-158-169.s41.a010.ap.plala.or.jp [ 121.116.158.169 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),,,
01:57:55,,Etc (robo),Inktomi (robo),b110137.yse.yahoo.net [ 68.180.228.239 ],,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),,,
01:58:09,http://44bonusa.ru/,Mozilla/7.0 (compatible; MSIE6.00; Windows 2005) (etc),Netscape 7.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/7.0 (compatible; MSIE6.00; Windows 2005),,,
02:05:31,https://www.lflash.ru/catalog/seriya-lite-104/256022989.html,Mozilla/2.0 (compatible; MSIE2.00; Windows 2005) (etc),Netscape 2.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/2.0 (compatible; MSIE2.00; Windows 2005),,,
02:07:23,http://www.google.co.jp/,Linux,Mozilla 5.0,pda2969d9.ibrknt01.ap.so-net.ne.jp [ 218.41.105.217 ],,Mozilla/5.0 (Linux; Android 7.0; SO-04H Build/39.2.B.0.208) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
02:18:06,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,sp1-75-9-37.msc.spmode.ne.jp [ 1.75.9.37 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:28:05,http://bsk1.sletat.ru/goryashhie-turyi-v-tunis.html,Mozilla/4.0 (compatible; MSIE6.00; Windows 2005) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/4.0 (compatible; MSIE6.00; Windows 2005),,,
02:31:20,https://gantbpm.ru/proekty/sistema-menedzhmenta-kachestva/,Mozilla/7.0 (compatible; MSIE6.00; Windows 2008) (etc),Netscape 7.0,irobert.ballard.example.com [ 185.154.13.6 ],,Mozilla/7.0 (compatible; MSIE6.00; Windows 2008),,,
02:53:53,https://womenknow.ru/136-nedorogie-horoshie-smartfony-do-5000-rubley.html,Mozilla/7.0 (compatible; MSIE3.00; Windows 2005) (etc),Netscape 7.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/7.0 (compatible; MSIE3.00; Windows 2005),,,
02:56:09,,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/) (etc),Mozilla 5.0,199.58.86.211 [ 199.58.86.211 ],,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/),,,
03:00:33,http://vkeep.ru/znamya-vojny-sekrety-sovety-i-otvety.html,Mozilla/5.0 (compatible; MSIE7.00; Windows 2003) (etc),Netscape 6.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/5.0 (compatible; MSIE7.00; Windows 2003),,,
03:12:45,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B72c Safari/602.1 (etc),Netscape 6.0,KD106157108173.ppp-bb.dion.ne.jp [ 106.157.108.173 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1 like Mac OS X) AppleWebKit/602.2.14 (KHTMLÅC like Gecko) Version/10.0 Mobile/14B72c Safari/602.1,,,
03:13:10,https://www.youtube.com/watch?v=UWeNMBN7aW8&feature=youtu.be,Windows XP,MSIE 7.0,softbank126112255006.biz.bbtec.net [ 126.112.255.6 ],,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30),,,
03:46:06,,Linux,Mozilla 5.0,KD182251242014.au-net.ne.jp [ 182.251.242.14 ],,Mozilla/5.0 (Linux; Android 6.0; SOV32 Build/32.1.C.0.364) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
03:53:10,,Linux,Mozilla 5.0,sp49-98-157-46.msd.spmode.ne.jp [ 49.98.157.46 ],,Mozilla/5.0 (Linux; Android 5.0.2; F-05F Build/V14R30A; wv) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36,,,
03:53:10,,Linux,Mozilla 5.0,sp49-98-157-46.msd.spmode.ne.jp [ 49.98.157.46 ],,Mozilla/5.0 (Linux; Android 5.0.2; F-05F Build/V14R30A) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile Safari/537.36,,,
03:53:12,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
03:59:40,,Windows NT ,Netscape 6.0,p3060-ipbf403kokuryo.gunma.ocn.ne.jp [ 118.1.242.60 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
04:00:16,,Windows NT ,Netscape 6.0,p3060-ipbf403kokuryo.gunma.ocn.ne.jp [ 118.1.242.60 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
04:02:56,,Linux,Netscape 6.0,sp1-79-22-234.msb.spmode.ne.jp [ 1.79.22.234 ],,Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; F-12C Build/F0001) AppleWebKit/533.1 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/533.1,,,
04:04:58,,Linux,Netscape 6.0,sp1-79-22-234.msb.spmode.ne.jp [ 1.79.22.234 ],,Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; F-12C Build/F0001) AppleWebKit/533.1 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/533.1,,,
04:05:57,http://www.ozzys.jp/goods/100/s101/index2.htm,Linux,Mozilla 5.0,sp49-98-157-46.msd.spmode.ne.jp [ 49.98.157.46 ],,Mozilla/5.0 (Linux; Android 5.0.2; F-05F Build/V14R30A) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile Safari/537.36,,,
04:07:05,,Linux,Netscape 6.0,sp1-79-22-234.msb.spmode.ne.jp [ 1.79.22.234 ],,Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; F-12C Build/F0001) AppleWebKit/533.1 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/533.1,,,
04:07:05,,Linux,Netscape 6.0,sp1-79-22-234.msb.spmode.ne.jp [ 1.79.22.234 ],,Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; F-12C Build/F0001) AppleWebKit/533.1 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/533.1,,,
04:09:43,http://smartfoxclub.ru/article/vliyanie-bilingvizma-na-intellekt-rebenka,Mozilla/4.0 (compatible; MSIE4.00; Windows 2007) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.145.95 ],,Mozilla/4.0 (compatible; MSIE4.00; Windows 2007),,,
04:12:44,http://www.ozzys.jp/goods/400/s409/m0042/g32868/,Windows NT ,Netscape 6.0,37.78.97.84 [ 37.78.97.84 ],,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
04:28:07,,Windows NT ,Netscape 6.0,KD106181174002.au-net.ne.jp [ 106.181.174.2 ],,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
04:28:45,http://in-sto.ru/stendy-shod-razvala/tv/7/74h/premium/presv/,Mozilla/7.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 7.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/7.0 (compatible; MSIE6.00; Windows 2004),,,
05:09:45,,X11,Mozilla 5.0,google-proxy-66-102-6-78.google.com [ 66.102.6.78 ],,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.75 Safari/537.36 Google Favicon,,,
05:10:00,,Windows XP,Netscape 6.0,KD121110216143.ppp-bb.dion.ne.jp [ 121.110.216.143 ],,Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.112 Safari/537.36,,,
05:19:45,https://ladyclub.org/news/lishnij-ves-kovarnaya-shtuka,Mozilla/6.0 (compatible; MSIE5.00; Windows 2006) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/6.0 (compatible; MSIE5.00; Windows 2006),,,
05:22:22,,Linux,Netscape 6.0,sp49-98-150-223.msd.spmode.ne.jp [ 49.98.150.223 ],,Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; F-06E Build/V26R52D) AppleWebKit/534.30 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/534.30,,,
05:22:44,http://kidsmi.ru/takie-udivitelnye-pticy/,Mozilla/4.0 (compatible; MSIE6.00; Windows 2005) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/4.0 (compatible; MSIE6.00; Windows 2005),,,
05:23:16,http://sobervoditel24.ru/trezviy-voditel-moskva/,Mozilla/4.0 (compatible; MSIE7.00; Windows 2003) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/4.0 (compatible; MSIE7.00; Windows 2003),,,
05:24:26,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,p76eca0d3.tocgnt01.ap.so-net.ne.jp [ 118.236.160.211 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
05:25:05,https://www.remgam.ru/remont-i-otdelka,Mozilla/3.0 (compatible; MSIE4.00; Windows 2006) (etc),Netscape 3.0,5.200.52.93 [ 5.200.52.93 ],,Mozilla/3.0 (compatible; MSIE4.00; Windows 2006),,,
05:25:07,http://breningroup.ru/antikollektor,Mozilla/3.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 3.0,5.200.52.103 [ 5.200.52.103 ],,Mozilla/3.0 (compatible; MSIE6.00; Windows 2004),,,
05:28:52,,Etc (robo),Inktomi (robo),b110137.yse.yahoo.net [ 68.180.228.239 ],,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),,,
05:39:46,http://44bonusa.ru/,Mozilla/4.0 (compatible; MSIE4.00; Windows 2003) (etc),Netscape 4.0,ptr.ruvds.com [ 195.133.48.121 ],,Mozilla/4.0 (compatible; MSIE4.00; Windows 2003),,,
05:53:24,,Windows NT ,Netscape 6.0,softbank126043078011.bbtec.net [ 126.43.78.11 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
06:00:38,http://www.domain2008.com/domains/www.ozzys.jp,Windows NT ,MSIE 9.0,115.37-88-23.rdns.scalabledns.com [ 23.88.37.115 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,,
06:03:26,https://www.lflash.ru/catalog/seriya-shtampovka-107/256023235.html,Mozilla/6.0 (compatible; MSIE2.00; Windows 2005) (etc),Netscape 6.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/6.0 (compatible; MSIE2.00; Windows 2005),,,
06:10:43,http://buckshee.petimer.ru/forum/fitnes-kachalka/trenirovki/,Mozilla/4.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 4.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/4.0 (compatible; MSIE6.00; Windows 2004),,,
